parameter,value,kind,source,date,url,note,evidence_type,read_by_this_run
neocloud.coreweave_active_power_gw,1.5,observed,"CoreWeave Q2 2026, as of 30 June",2026-06-30,https://www.marktechpost.com/2026/08/23/best-gpu-neoclouds-2026/,Contracted power roughly 3.7-4.2 GW across 51 data centers. Active power is the revenue-bearing figure.,inherited_source_not_reverified,False
neocloud.coreweave_backlog_usd_bn,104.0,observed,CoreWeave Q2 2026,2026-08,https://exoswan.com/neocloud-stocks,"Remaining performance obligations. Roughly eight years of revenue at the current guide, which is why backlog is the promise and debt is the fact.",inherited_source_not_reverified,False
neocloud.coreweave_take_or_pay_share,0.96,observed,CoreWeave disclosure via Luminix,2026-06,https://www.useluminix.com/reports/industry-analysis/deep-dive-on-the-neocloud-gpu-rental-industry-coreweave-lambda-crusoe,"Contracts are 2-5 year take-or-pay. Customers pay regardless of usage, which decouples PROVIDER revenue from CONSUMER utilization. Central to the model: booked demand is contractual, not consumptive.",inherited_source_not_reverified,False
neocloud.customer_concentration_top3,0.8,observed,Analyst estimates via Luminix,2026-06,https://www.useluminix.com/reports/industry-analysis/deep-dive-on-the-neocloud-gpu-rental-industry-coreweave-lambda-crusoe,Microsoft was 67% of CoreWeave 2025 revenue. Top three expected to remain above 80% even after diversification.,inherited_source_not_reverified,False
neocloud.nebius_arr_usd_bn,3.0,observed,Nebius disclosure,2026-08,https://www.marktechpost.com/2026/08/23/best-gpu-neoclouds-2026/,Targeting $7-9B ARR by end-2026.,inherited_source_not_reverified,False
unit_economics.revenue_per_gw_year_usd_bn,8.5,assumption,Derived from CoreWeave FY2026 revenue guide over active power,2026-08,https://www.marktechpost.com/2026/08/23/best-gpu-neoclouds-2026/,"Illustrative $8.5bn per occupied GW-year proxy, loosely based on FY guidance divided by a point-in-time active-power figure. Periods differ. Not a realized yield, contracted revenue forecast, or evidence that energization means consumption.",model_judgment,True
unit_economics.capex_per_gw_usd_bn,35.0,calibrated,Explicit model judgment; no external observation,2026,,"Calibrated in the original module partly to a supply-output comparison. Retained at $35bn/GW without retuning. That comparison was not independent and its delivery benchmark was stock, so no validation claim remains.",model_judgment,True
unit_economics.coreweave_h100_gpu_hour_usd,6.16,observed,Published rate card via MarkTechPost,2026-08,https://www.marktechpost.com/2026/08/23/best-gpu-neoclouds-2026/,"Roughly 60% above Nebius and Lambda published rates. SemiAnalysis puts the premium at 10-15% on a like-for-like basis, so the headline gap overstates it.",inherited_source_not_reverified,False
unit_economics.breakeven_utilization,0.7,assumption,Analyst estimate via Luminix,2026-06,https://www.useluminix.com/reports/industry-analysis/deep-dive-on-the-neocloud-gpu-rental-industry-coreweave-lambda-crusoe,"Inherited illustrative estimate, not an operator disclosure or explanation of contracting choices. Context only.",inherited_estimate_or_forecast_not_realized,False
consumption.inference_share_of_infra_spend_2026,0.55,assumption,Presenc AI synthesis,2026-07,https://presenc.ai/research/inference-vs-training-compute-split-2026,Up from about 33% in 2023. Denominator is infrastructure SPENDING.,inherited_estimate_or_forecast_not_realized,True
consumption.inference_share_of_compute_cycles_2026,0.67,assumption,Deloitte via Presenc AI,2026-07,https://presenc.ai/research/inference-vs-training-compute-split-2026,Denominator is compute CYCLES. Not the same as the spend measure above and must not be substituted for it.,inherited_estimate_or_forecast_not_realized,True
consumption.inference_share_of_lifecycle_dollars,0.85,assumption,Industry analyses via Presenc AI,2026-07,https://presenc.ai/research/inference-vs-training-compute-split-2026,Inherited midpoint of an 80–90% lifecycle spending estimate. Context only; not a measured GW allocation.,inherited_source_not_reverified,True
consumption.gartner_ai_cloud_market_2026_usd_bn,42.0,assumption,Gartner via TechTimes,2026-08,https://www.techtimes.com/articles/323879/20260811/gartner-marks-first-year-inference-spending-beats-ai-training-55-cents-every-cloud-dollar.htm,"AI-optimized infrastructure spending, roughly 15% of a $287.3B IaaS market. Inference claims $23.3B of it — the first year inference beats training.",inherited_estimate_or_forecast_not_realized,False
consumption.agentic_token_multiplier_low,5.0,observed,Gartner,2026-03,https://www.techtimes.com/articles/323879/20260811/gartner-marks-first-year-inference-spending-beats-ai-training-55-cents-every-cloud-dollar.htm,Tokens per task versus a standard chatbot interaction.,inherited_source_not_reverified,False
consumption.agentic_token_multiplier_high,30.0,observed,Gartner,2026-03,https://www.techtimes.com/articles/323879/20260811/gartner-marks-first-year-inference-spending-beats-ai-training-55-cents-every-cloud-dollar.htm,"Each task fans out into reasoning steps, tool calls and retries.",inherited_source_not_reverified,False
consumption.cost_per_interaction_linear_usd,0.04,observed,EY enterprise AI cost analysis,2026,https://www.techtimes.com/articles/323879/20260811/gartner-marks-first-year-inference-spending-beats-ai-training-55-cents-every-cloud-dollar.htm,The 2023-style linear workflow.,inherited_source_not_reverified,False
consumption.cost_per_interaction_agentic_usd,1.2,observed,EY enterprise AI cost analysis,2026,https://www.techtimes.com/articles/323879/20260811/gartner-marks-first-year-inference-spending-beats-ai-training-55-cents-every-cloud-dollar.htm,Roughly 30x the linear workflow. Per-token price fell; tokens per transaction exploded.,inherited_source_not_reverified,False
consumption.token_price_decline_2yr_factor,280.0,observed,Stanford HAI AI Index via Telnyx,2026-07,https://telnyx.com/resources/ai-training-vs-inference,GPT-3.5-equivalent MMLU query cost fell from $20.00 to roughly $0.07 per million tokens over about two years.,inherited_source_not_reverified,False
consumption.enterprise_spend_growth_same_period,3.2,observed,ComputeLeap synthesis,2026-06,https://www.computeleap.com/blog/ai-token-economics-subsidy-clock-use-llm-less-2026/,Inherited 3.2x multiplier retained as context. Original 'rose 320%' wording conflicts (would imply 4.2x); no causal capacity-pricing inference is used.,inherited_source_not_reverified,False
consumption.avg_enterprise_ai_budget_2026_usd_m,7.0,observed,ComputeLeap synthesis,2026-06,https://www.computeleap.com/blog/ai-token-economics-subsidy-clock-use-llm-less-2026/,Up from $1.2M in 2024.,inherited_source_not_reverified,False
consumption.inference_share_of_enterprise_budget,0.85,observed,ComputeLeap synthesis,2026-06,https://www.computeleap.com/blog/ai-token-economics-subsidy-clock-use-llm-less-2026/,Up from 40% in 2023.,inherited_source_not_reverified,False
deployment_mode.hyperscaler_self_consumed_share,0.6,assumption,Explicit model judgment; no external observation,2026,,"ASSUMPTION. Share of hyperscaler-bought capacity consumed internally rather than resold. The remainder is sold as cloud, which makes hyperscalers both buyers and landlords.",model_judgment,True
deployment_mode.neocloud_resold_share,1.0,assumption,SemiAnalysis category definition via ModulEdge,2026-06,https://www.moduledge.com/blog/neocloud,Stylized assumption that all neocloud capacity is resold. Does not establish actual utilization.,inherited_estimate_or_forecast_not_realized,True
deployment_mode.hyperscalers_renting_from_neoclouds,True,observed,Microsoft $60B+ in neocloud commitments; Meta up to $62B across CoreWeave and Nebius,2026-07,https://datastorage.com/articles/top-10-neocloud-providers-of-2026-ranked/,"The flow is not one-directional. Hyperscalers buy chips AND rent capacity, because they cannot build fast enough. This is the demand-side reflection of the supply module's delivery constraint.",inherited_source_not_reverified,False
deployment_mode.enterprise_merchant_share,0,assumption,Explicit model judgment,2026-09-07,,Assume enterprise/sovereign self-build is outside merchant demand; expose the formerly implicit exclusion.,model_judgment,True
model.reference_year,2026,assumption,Model design,2026-09-07,,Fixed forecast origin.,model_judgment,True
model.us_capacity_share,0.7,assumption,Model design,2026-09-07,,"Illustrative US share of company-wide capex-implied capacity; geographic bridge, not a measured share.",model_judgment,True
model.merchant_supply_share,0.45,assumption,Model design,2026-09-07,,"Independent supply ownership assumption, not mechanically copied from demand shares.",model_judgment,True
model.demand_growth,1.1,assumption,Model design,2026-09-07,,Annual US merchant capacity requirement multiplier.,reported_forecast_or_scenario_not_realized,True
model.live_load_weights,"[0.5, 0.5]",assumption,Model design,2026-09-07,,"Weights for energized capacity becoming ready for occupancy, lag 0 and 1. Readiness is not actual IT electricity consumption; matched demand determines modeled occupation.",model_judgment,True
model.capacity_required_weights,"[0.5, 0.5]",assumption,Model design,2026-09-07,,"Capex cohort to requested-service year allocation, lag 0 and 1; independent of energized ramp.",model_judgment,True
model.opening_merchant_capex_gw,{'2025': 4.0},assumption,Model design,2026-09-07,,Illustrative US merchant capex-implied cohort before forecast start; supplies the opening requested-service tail.,model_judgment,True
model.horizon_years,8,assumption,Explicit model judgment,2026-09-07,,Default reporting horizon; origin stored separately.,model_judgment,True
model.h1_annualization_factor,2,assumption,Explicit model judgment,2026-09-07,,"Assume H2 equals H1 to initialize signing flow, not delivery-year demand.",model_judgment,False
model.opening_demand_backlog_gw,0,assumption,Explicit model judgment,2026-09-07,,Unmet service requested before origin excluded; explicit initial balance.,model_judgment,True
model.opening_ready_capacity_gw,0,assumption,Explicit model judgment,2026-09-07,,No spare capacity from pre-origin energizations. This is an incremental model.,model_judgment,True
model.existing_occupied_capacity_gw,0,assumption,Explicit model judgment,2026-09-07,,Existing fleet excluded; all occupied totals track incremental cohorts only.,model_judgment,True
model.cancellation_rate,0,assumption,Explicit model judgment,2026-09-07,,No cancellation implemented; nonzero value rejected rather than silently ignored.,model_judgment,True
model.retirement_rate,0,assumption,Explicit model judgment,2026-09-07,,No retirement implemented; nonzero value rejected rather than silently ignored.,model_judgment,True
model.capex_sensitivity,"[25, 35, 50]",assumption,Explicit model judgment,2026-09-07,,Cost per GW scenarios; preserve contrary outcomes.,model_judgment,True
model.geography_sensitivity,"[0.5, 0.7, 0.9]",assumption,Explicit model judgment,2026-09-07,,"US share scenarios, not a confidence interval.",model_judgment,True
customer_segment_mix.end_year,2033,assumption,Explicit scenario design; no external observation,2026-09-10,,Last supported year. Do not silently extrapolate.,model_judgment,True
customer_segment_mix.terminal_shares,"{'base': [0.68, 0.18, 0.14], 'hyperscaler-heavy': [0.82, 0.1, 0.08], 'neocloud-growth': [0.58, 0.3, 0.12], 'enterprise-sovereign-growth': [0.58, 0.16, 0.26]}",assumption,Explicit scenario design; no external observation,2026-09-10,,"Order: hyperscaler, neocloud, enterprise/sovereign. Linear paths from registered 2026 shares. Base represents modest diversification; alternatives stress ownership concentration, resale growth, and self-build growth. Magnitudes are illustrative judgments, not estimates, probabilities or fitted outputs. static-control holds opening shares throughout.",model_judgment,True
