parameter,value,kind,source,date,url,note,evidence_type,read_by_this_run,formula
grid_interconnection.median_ir_to_cod_years,5.0,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,"Median for projects reaching COD in 2025; reported as 'over 5 years', so this is a floor.",inherited_source_not_reverified,True,
grid_interconnection.active_queue_generation_gw,1312.0,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,"Active generation capacity in US queues as of end-2025, across ~8,200 projects.",inherited_source_not_reverified,False,
grid_interconnection.active_queue_storage_gw,749.0,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,,inherited_source_not_reverified,False,
grid_interconnection.active_queue_gas_gw,253.0,observed,"LBNL, Queued Up: 2026 Edition",2026-07,https://emp.lbl.gov/queues,"Up 86% in 2025 while solar (-19%), storage (-16%) and wind (-19%) contracted. The queue is re-composing toward firm capacity.",inherited_source_not_reverified,False,
ercot.large_load_queue_gw,474.0,observed,Gov. Abbott letter to PUCT/ERCOT,2026-08-03,https://www.gibsondunn.com/what-governor-abbotts-data-center-audit-directive-means-for-ercot-and-the-batch-zero-study-process/,More than five times ERCOT's record peak demand.,inherited_source_not_reverified,True,
ercot.data_center_share_of_queue,0.9,observed,Gov. Abbott letter to PUCT/ERCOT,2026-08-03,https://www.akingump.com/en/insights/alerts/texas-pauses-data-center-interconnections-pending-statewide-audit,,inherited_source_not_reverified,False,
ercot.approval_to_energize_gw,9.0,observed,interconnectionqueue.org ERCOT tracker,2026-07,https://interconnectionqueue.org/iso/ercot,Large loads holding Approval to Energize.,inherited_source_not_reverified,True,
ercot.observed_peak_large_load_gw,3.9,observed,interconnectionqueue.org ERCOT tracker,2026-07,https://interconnectionqueue.org/iso/ercot,"Observed peak consumption, not energized capacity. Different dates and populations prevent a queue conversion ratio.",inherited_source_not_reverified,True,
ercot.record_peak_demand_gw,91.089,observed,ERCOT via rack2cloud analysis,2026-07-22,https://www.rack2cloud.com/phantom-capacity/,,inherited_source_not_reverified,False,
ercot.audit_start,2026-08-03,observed,Gov. Abbott directive; ERCOT postponed Batch Zero classification,2026-08-03,https://www.gtlaw.com/en/insights/2026/8/texas-imposes-new-audit-requirement-for-data-center-projects-delaying-ercot-interconnection-reviews,,inherited_source_not_reverified,False,
ercot.audit_target_completion,2026-12-10,observed,ERCOT statements to PUCT,2026-08-20,https://www.utilitydive.com/news/ercot-texas-puc-data-center-audit/828472/,"ERCOT has said the Batch Zero study will NOT be complete by its April 9, 2027 deadline and has not yet proposed a replacement date. Treat 2026-12-10 as the audit milestone, not the resumption of study results.",inherited_source_not_reverified,False,
ercot.batch_zero_study_slip,True,observed,ERCOT via Utility Dive,2026-08-20,https://www.utilitydive.com/news/ercot-texas-puc-data-center-audit/828472/,Inherited reported schedule slip. Context only; no regional shock is implemented.,inherited_source_not_reverified,False,
ercot.medium_load_pipeline_mw,8800.0,observed,ERCOT April snapshot via Utility Dive,2026-08-20,https://www.utilitydive.com/news/ercot-texas-puc-data-center-audit/828472/,157 medium data center and crypto facilities below the Batch Zero threshold.,inherited_source_not_reverified,False,
ercot.sb6_financial_security_per_mw_usd,50000.0,observed,PUCT draft rule 16 TAC 25.194 under SB6,2026-03,https://interconnectionqueue.org/iso/ercot,"Applies to loads 75 MW+, alongside site control, batch study and mandatory curtailment exposure. Raises real project cost and thins speculative requests.",inherited_source_not_reverified,False,
equipment_lead_times_months.power_substation_transformer,37.0,observed,Wood Mackenzie 2026 read via VAWN index,2026-08,https://usevawn.com/resources/electrical-equipment-lead-times/,Over 160 weeks. Largest HV units reach up to 4 years (48 months).,inherited_source_not_reverified,True,
equipment_lead_times_months.power_substation_transformer_worst,48.0,observed,IEA transmission equipment lead times via VAWN,2026-08,https://usevawn.com/resources/electrical-equipment-lead-times/,,inherited_source_not_reverified,False,
equipment_lead_times_months.gsu_transformer,33.0,observed,Wood Mackenzie survey via VAWN / IndustrialSage,2026-08,https://usevawn.com/resources/electrical-equipment-lead-times/,144 weeks. Generator step-up units above 50 MVA reported at 100-150+ weeks.,inherited_source_not_reverified,True,
equipment_lead_times_months.mv_switchgear_15kv,15.0,observed,Terrapin Construction Group procurement data,2026-06,https://terrapincg.com/news/switchgear-transformer-generator-lead-times-2026,52-80 weeks; pre-pandemic comparable was about 24 weeks.,inherited_source_not_reverified,False,
equipment_lead_times_months.mv_switchgear_38kv,21.0,observed,Terrapin Construction Group / IndustrialSage,2026-06,https://www.industrialsage.com/switchgear-lead-times-2026/,78-104 weeks.,inherited_source_not_reverified,True,
equipment_lead_times_months.large_frame_gas_turbine,66.0,derived,Secondwatt synthesis of OEM order books,2026-08,https://secondwatt.com/resources/gas-turbine-orders-2025-backlog-lead-times-buyer-guide,US wait times up to seven years for some frames; large turbines commonly quoted around five. Midpoint 5.5 years used.,inherited_source_not_reverified,True,
equipment_lead_times_months.aeroderivative_gas_turbine,27.0,derived,Secondwatt synthesis of OEM order books,2026-08,https://secondwatt.com/resources/gas-turbine-orders-2025-backlog-lead-times-buyer-guide,Midpoint of inherited 18–36 month generation lead range. Full route also waits for transformers and other components.,inherited_source_not_reverified,True,
equipment_lead_times_months.site_build_shell_and_fitout,18.0,assumption,Industry standard data center build cycle,2026,,ASSUMPTION. Shell-to-commissioning absent power constraint. Sourced commentary repeatedly references an 18-month build cycle as the baseline that equipment lead times now exceed.,model_judgment,True,
turbine_supply.ge_vernova_backlog_gw,116.0,observed,GE Vernova Q2 2026 results,2026-Q2,https://finance.yahoo.com/energy/articles/gas-turbine-shortage-just-became-210000180.html,Up from 100 GW three months earlier and 83 GW at end-2025. Expects 125 GW under contract by December. Taking reservations for 2031 delivery.,inherited_source_not_reverified,False,
turbine_supply.ge_vernova_production_gw_per_year,"{'2026': 20.0, '2028': 24.0, '2030': 30.0}",assumption,GE Vernova CEO guidance,2026-Q2,https://finance.yahoo.com/energy/articles/gas-turbine-shortage-just-became-210000180.html,,reported_forecast_or_scenario_not_realized,False,
turbine_supply.siemens_energy_backlog_gw,69.0,observed,Siemens Energy FQ3 2026 (ended 2026-06-30),2026-06-30,https://finance.yahoo.com/energy/articles/gas-turbine-shortage-just-became-210000180.html,Booked 15 GW and shipped six in the quarter. Lead times three years or more.,inherited_source_not_reverified,False,
turbine_supply.mitsubishi_large_frame_backlog_gw,35.0,observed,Mitsubishi Heavy Industries,2026-08,https://finance.yahoo.com/energy/articles/gas-turbine-shortage-just-became-210000180.html,,inherited_source_not_reverified,False,
turbine_supply.industry_annual_capacity_gw_low,60.0,observed,Wood Mackenzie,2026-08,https://secondwatt.com/resources/gas-turbine-orders-2025-backlog-lead-times-buyer-guide,Against roughly 110 GW of annual orders. Book runs 1.6-1.8 years deep before a new order is reached.,inherited_source_not_reverified,True,
turbine_supply.industry_annual_capacity_gw_high,70.0,observed,Wood Mackenzie,2026-08,https://secondwatt.com/resources/gas-turbine-orders-2025-backlog-lead-times-buyer-guide,,inherited_source_not_reverified,True,
turbine_supply.industry_annual_orders_gw,110.0,observed,Wood Mackenzie,2026-08,https://secondwatt.com/resources/gas-turbine-orders-2025-backlog-lead-times-buyer-guide,,inherited_source_not_reverified,False,
turbine_supply.us_share_of_turbine_output,0.5,assumption,"Derived from Siemens Energy CEO comment that addressable market could reach 120 GW/yr, roughly half American",2026,https://finance.yahoo.com/energy/articles/gas-turbine-shortage-just-became-210000180.html,ASSUMPTION. Applied to allocate global OEM throughput to US deliverability.,model_judgment,True,
turbine_supply.data_center_share_of_us_turbine_output,0.45,assumption,Explicit model judgment; no external observation,2026,,"ASSUMPTION, and a material one. Turbines also serve utility fleet replacement, coal retirement backfill and industrial load. Sensitivity range 0.30-0.60 in scenarios.",model_judgment,True,
demand.na_absorption_h1_2026_gw,25.0,observed,JLL North America Data Center Report,2026-08-11,https://www.jll.com/en-us/newsroom/data-center-demand-exceeds-expectations-in-h1-2026,"Double year-earlier level, five times H1 2024. INCLUDES hyperscale self-build. Not comparable to CBRE's colo figure.",inherited_source_not_reverified,True,
demand.na_under_construction_gw,66.0,observed,JLL,2026-08-11,https://www.jll.com/en-us/newsroom/data-center-demand-exceeds-expectations-in-h1-2026,,inherited_source_not_reverified,False,
demand.cbre_primary_supply_mw,10903.0,observed,CBRE North America Data Center Trends H1 2026,2026-08-28,https://www.datacenterfrontier.com/site-selection/news/55401462/cbre-record-data-center-construction-fails-to-ease-capacity-crunch,"Primary market supply, up 33.7% YoY.",inherited_source_not_reverified,False,
demand.cbre_primary_vacancy,0.014,observed,CBRE H1 2026,2026-08-28,https://www.datacenterfrontier.com/site-selection/news/55401462/cbre-record-data-center-construction-fails-to-ease-capacity-crunch,Down from 1.6% a year earlier. Record low. Third consecutive year near 1%.,inherited_source_not_reverified,False,
demand.cbre_primary_under_construction_mw,7481.1,observed,CBRE H1 2026,2026-08-28,https://www.datacenterfrontier.com/site-selection/news/55401462/cbre-record-data-center-construction-fails-to-ease-capacity-crunch,"Up 24.8%, a record.",inherited_source_not_reverified,False,
demand.cbre_preleased_share_of_construction,0.804,observed,CBRE H1 2026,2026-08-28,https://www.datacenterfrontier.com/site-selection/news/55401462/cbre-record-data-center-construction-fails-to-ease-capacity-crunch,Reported prelease share; neither proof of future occupancy nor a test of a capex bubble. Context only.,inherited_source_not_reverified,False,
demand.cbre_net_absorption_h1_2026_mw,1456.2,observed,CBRE H1 2026,2026-08-28,https://www.datacenterfrontier.com/site-selection/news/55401462/cbre-record-data-center-construction-fails-to-ease-capacity-crunch,Primary colocation markets only. Do NOT sum with the JLL 25 GW figure.,inherited_source_not_reverified,False,
demand.hyperscaler_2026_capex_usd_bn,602.0,assumption,CreditSights via Global Data Center Hub,2026-01,https://www.globaldatacenterhub.com/p/us-data-center-infrastructure-the,"Five largest hyperscalers, up 36% YoY, roughly 75% AI-tied.",inherited_source_not_reverified,False,
conversion_ratios.generation_nameplate_per_gw_it_load,1.15,assumption,Explicit model judgment; no external observation,2026,,"ASSUMPTION. Dedicated behind-the-meter generation nameplate required per GW of critical IT load, allowing for availability and maintenance reserve. Sensitivity 1.05-1.35.",model_judgment,True,
conversion_ratios.aeroderivative_unit_mw_typical,35.0,observed,GE Vernova LM2500XPRESS class specification,2026-02,https://www.modernpowersystems.com/data-centre-power/could-a-delivery-backlog-derail-a-gt-boom/,"Representative aeroderivative unit rating. Campuses in this class are assembled from ~25-30 units to reach roughly 1 GW of nameplate, which is why the pathway scales in increments rather than in single large blocks.",inherited_source_not_reverified,False,
model.reference_year,2026,assumption,Model design,2026-09-07,,Fixed origin for forecasts and opening cohorts.,model_judgment,True,
model.pathway_shares,"{'grid_queue': 0.45, 'btm_large_frame': 0.2, 'btm_aeroderivative': 0.15, 'colo_lease': 0.2}",assumption,Model design,2026-09-07,,Allocation of mutually exclusive new-build routes; sums to one.,model_judgment,True,
model.large_frame_power_gate,0.7,assumption,Model design,2026-09-07,,Conditional firm-power conversion.,model_judgment,True,
model.aero_power_gate,0.8,assumption,Model design,2026-09-07,,Conditional firm-power conversion.,model_judgment,True,
model.colo_development_gate,0.85,assumption,Model design,2026-09-07,,New merchant colocation development; not leases on existing construction.,model_judgment,True,
model.colo_power_gate,0.9,assumption,Model design,2026-09-07,,Conditional power conversion; transformers are not assumed secured.,model_judgment,True,
model.aero_turbine_share,0.25,assumption,Model design,2026-09-07,,Dedicated fraction of turbine capacity. Unused allocation is not transferred across turbine types.,model_judgment,True,
model.site_permitting_months,12,assumption,Model design,2026-09-07,,Parallel elapsed readiness time from announcement.,model_judgment,True,
model.commissioning_ready_months,18,assumption,Model design,2026-09-07,,Total elapsed readiness milestone including shell/fit-out and commissioning; not an extra sequential duration.,model_judgment,True,
model.opening_announcements_gw,"{'2020': 15, '2021': 20, '2022': 30, '2023': 50, '2024': 70, '2025': 85}",assumption,Model design,2026-09-07,,"Illustrative US backcast, NOT measured historical announcements. Replaces construction-stock seeding entirely. Pending post-2025 deliveries only; earlier deliveries and rationing excluded. Sensitivity required.",model_judgment,True,
model.landing_rule,linear_calendar_interpolation,assumption,Model design,2026-09-07,,Annual timing approximation: split fractional lags between adjacent calendar years. Not a project-level delivery-date promise.,model_judgment,True,
model.opening_equipment_backlog_gw,0,assumption,Model design,2026-09-07,,No inherited equipment backlog at the reference year; pre-window volumes landing after reference still enter the queue.,model_judgment,True,
model.bookings_us_share,0.9,assumption,Model design,2026-09-07,,Illustrative bridge from North America signed bookings to US; not an observed geographic share.,model_judgment,True,
model.booking_delivery_weights,"[0.2, 0.5, 0.3]",assumption,Model design,2026-09-07,,"Requested-service lag weights for signed bookings: years 0, 1, 2. Sum to one.",model_judgment,True,
model.opening_bookings_us_gw,"{'2024': 30, '2025': 40}",assumption,Model design,2026-09-07,,Illustrative US bookings signed before the forecast origin. No additional opening demand stock.,model_judgment,True,
model.booking_growth,"{'low': 0.85, 'base': 1.0, 'high': 1.15}",assumption,Model design,2026-09-07,,Annual signed-booking multipliers after 2026.,reported_forecast_or_scenario_not_realized,True,
model.turbine_sensitivity,"[0.3, 0.375, 0.45, 0.525, 0.6]",assumption,Model design,2026-09-07,,Data-center turbine allocation scenarios.,model_judgment,True,
model.aero_sensitivity,"[0.15, 0.25, 0.35, 0.45]",assumption,Model design,2026-09-07,,Aeroderivative allocation scenarios.,model_judgment,True,
model.opening_sensitivity,"[0.5, 1, 1.5]",assumption,Model design,2026-09-07,,Multipliers on illustrative opening announcement cohorts.,model_judgment,True,
model.horizon_years,8,assumption,Explicit model judgment,2026-09-07,,Default reporting horizon; origin stored separately.,model_judgment,True,
model.h1_annualization_factor,2,assumption,Explicit model judgment,2026-09-07,,"Assume H2 equals H1 to initialize signing flow, not delivery-year demand.",model_judgment,True,
model.quarter_annualization_factor,4,assumption,Explicit model judgment,2026-09-07,,Assume quarterly announcement flow repeats four times.,model_judgment,True,
model.grid_lifetime_conversion_proxy,0.13,assumption,Explicit model judgment,2026-09-07,,"Transfer of generation queue completion rate to load-side projects is an assumption. Conditional power gate = min(1, proxy / development gate); no independent second 13% haircut.",model_judgment,True,
model.ui_controls,"[{'path': 'turbine_supply.data_center_share_of_us_turbine_output', 'label': 'US turbine allocation to data centers', 'min': 0.25, 'max': 0.65, 'step': 0.025}, {'path': 'pipeline.quarterly_pipeline_additions_q4_2025_gw', 'label': 'Quarterly announcements (GW)', 'min': 10, 'max': 50, 'step': 1}, {'path': 'pipeline.share_under_active_development', 'label': 'Active development share', 'min': 0.15, 'max': 0.75, 'step': 0.01}, {'path': 'equipment_lead_times_months.aeroderivative_gas_turbine', 'label': 'Aero generation readiness (months)', 'min': 18, 'max': 48, 'step': 1}, {'path': 'equipment_lead_times_months.power_substation_transformer', 'label': 'Transformer readiness (months)', 'min': 24, 'max': 60, 'step': 1}, {'path': 'model.bookings_us_share', 'label': 'US share of North America bookings', 'min': 0.5, 'max': 1, 'step': 0.05}]",assumption,Explicit model judgment,2026-09-07,,"Exploratory control ranges, not confidence intervals.",model_judgment,False,
model.supply_topologies,"{'base': {}, 'alternative-btm': {'btm_aeroderivative': ['transformer', 'gsu']}}",assumption,Explicit model judgment; alternative topology not externally verified,2026-09-11,,"Component exclusions by pathway. Alternative BTM replaces only the existing aero route; assumes no new HV substation or GSU procurement is needed and other electrical readiness is covered by retained milestones. Does not establish equipment availability or engineering feasibility. All shares, gates, turbine ceilings and opening announcements remain fixed; no additional supply route is added.",model_judgment,True,
validation.cbre_primary_inventory_2025_gw,9.432,observed,CBRE H2 2025 press release,2026-02-26,https://www.cbre.com/press-releases/fast-growing-north-american-data-center-market-set-records-in-2025,Year-end total inventory across eight primary markets. NOT annual US new delivery; excluded from calibration and accuracy scoring.,primary_source_verified_2026-09-07,True,
